using device: cpu
Loading pretrained GPT-2 model: gpt2
loaded 338025 tokens
1 epoch = 2640 batches
Using OneCycleLR scheduler with max_lr=0.0003 and total_steps=10000
step 155, loss: 4.4483, current_lr: 0.000014
step 156, loss: 4.0357, current_lr: 0.000014
step 157, loss: 3.5829, current_lr: 0.000014
step 158, loss: 3.3065, current_lr: 0.000014
step 159, loss: 3.3810, current_lr: 0.000014
step 160, loss: 2.6925, current_lr: 0.000014
Saved best model with loss: 2.6925 to fine_tuned_gpt2\gpt2_finetuned_best_loss_2.6925.pt
step 161, loss: 3.1671, current_lr: 0.000014
step 162, loss: 3.9452, current_lr: 0.000014
step 163, loss: 2.8884, current_lr: 0.000014
step 164, loss: 3.3104, current_lr: 0.000014
step 165, loss: 3.7155, current_lr: 0.000014
step 166, loss: 3.9355, current_lr: 0.000014
step 167, loss: 3.5185, current_lr: 0.000014
step 168, loss: 3.5227, current_lr: 0.000014
step 169, loss: 4.5545, current_lr: 0.000014
step 170, loss: 4.4845, current_lr: 0.000014
step 171, loss: 3.5735, current_lr: 0.000014
step 172, loss: 3.9182, current_lr: 0.000014
step 173, loss: 4.8272, current_lr: 0.000014
step 174, loss: 3.8478, current_lr: 0.000014
step 175, loss: 4.8463, current_lr: 0.000014
step 176, loss: 3.8791, current_lr: 0.000014
step 177, loss: 3.4900, current_lr: 0.000014
step 178, loss: 2.9815, current_lr: 0.000015
step 179, loss: 3.3837, current_lr: 0.000015
step 180, loss: 3.1801, current_lr: 0.000015
step 181, loss: 2.7249, current_lr: 0.000015
step 182, loss: 3.6324, current_lr: 0.000015
step 183, loss: 3.4825, current_lr: 0.000015
step 184, loss: 2.9630, current_lr: 0.000015
step 185, loss: 3.1371, current_lr: 0.000015
step 186, loss: 3.4670, current_lr: 0.000015
step 187, loss: 4.2289, current_lr: 0.000015
step 188, loss: 3.6875, current_lr: 0.000015
step 189, loss: 3.6257, current_lr: 0.000015
step 190, loss: 3.0832, current_lr: 0.000015
step 191, loss: 2.5852, current_lr: 0.000015
Saved best model with loss: 2.5852 to fine_tuned_gpt2\gpt2_finetuned_best_loss_2.5852.pt
step 192, loss: 3.8787, current_lr: 0.000015
step 193, loss: 3.6986, current_lr: 0.000015
step 194, loss: 3.4867, current_lr: 0.000015
step 195, loss: 4.1860, current_lr: 0.000015
step 196, loss: 3.8701, current_lr: 0.000015
step 197, loss: 2.9132, current_lr: 0.000015
step 198, loss: 4.5000, current_lr: 0.000015
step 199, loss: 3.3046, current_lr: 0.000015
step 200, loss: 3.0881, current_lr: 0.000015
step 201, loss: 3.4006, current_lr: 0.000015
step 202, loss: 3.4110, current_lr: 0.000015
step 203, loss: 3.2669, current_lr: 0.000015
step 204, loss: 4.3372, current_lr: 0.000015
step 205, loss: 3.7686, current_lr: 0.000015
step 206, loss: 4.7481, current_lr: 0.000015
step 207, loss: 3.9567, current_lr: 0.000015
step 208, loss: 3.0530, current_lr: 0.000015
step 209, loss: 4.0224, current_lr: 0.000015
step 210, loss: 4.2929, current_lr: 0.000016
step 211, loss: 4.2090, current_lr: 0.000016
step 212, loss: 4.1487, current_lr: 0.000016
step 213, loss: 3.3514, current_lr: 0.000016
step 214, loss: 3.8203, current_lr: 0.000016
step 215, loss: 3.4592, current_lr: 0.000016
step 216, loss: 3.8008, current_lr: 0.000016
step 217, loss: 3.2620, current_lr: 0.000016
step 218, loss: 4.1251, current_lr: 0.000016
step 219, loss: 2.8505, current_lr: 0.000016
step 220, loss: 3.8003, current_lr: 0.000016
step 221, loss: 2.7878, current_lr: 0.000016
step 222, loss: 3.7627, current_lr: 0.000016
step 223, loss: 3.6053, current_lr: 0.000016
step 224, loss: 2.9804, current_lr: 0.000016
step 225, loss: 3.8143, current_lr: 0.000016
step 226, loss: 3.2580, current_lr: 0.000016
step 227, loss: 3.3444, current_lr: 0.000016
step 228, loss: 3.8717, current_lr: 0.000016
step 229, loss: 4.1826, current_lr: 0.000016
step 230, loss: 4.0305, current_lr: 0.000016
step 231, loss: 3.8822, current_lr: 0.000016
step 232, loss: 3.9402, current_lr: 0.000016
step 233, loss: 4.8047, current_lr: 0.000016
step 234, loss: 3.7379, current_lr: 0.000016
step 235, loss: 3.8342, current_lr: 0.000016
step 236, loss: 3.3694, current_lr: 0.000016
step 237, loss: 2.7700, current_lr: 0.000016
step 238, loss: 2.9236, current_lr: 0.000016
step 239, loss: 3.8874, current_lr: 0.000017
step 240, loss: 2.6694, current_lr: 0.000017
step 241, loss: 3.2844, current_lr: 0.000017
step 242, loss: 3.3879, current_lr: 0.000017
step 243, loss: 3.3742, current_lr: 0.000017
step 244, loss: 3.8294, current_lr: 0.000017
step 245, loss: 4.2163, current_lr: 0.000017
step 246, loss: 4.2352, current_lr: 0.000017
step 247, loss: 4.2922, current_lr: 0.000017
step 248, loss: 3.7269, current_lr: 0.000017
step 249, loss: 3.7894, current_lr: 0.000017
step 250, loss: 3.6189, current_lr: 0.000017
step 251, loss: 4.4207, current_lr: 0.000017
step 252, loss: 3.5136, current_lr: 0.000017
step 253, loss: 3.4185, current_lr: 0.000017
step 254, loss: 3.2078, current_lr: 0.000017
step 255, loss: 3.4228, current_lr: 0.000017
step 256, loss: 3.0250, current_lr: 0.000017
step 257, loss: 3.5972, current_lr: 0.000017
step 258, loss: 3.0690, current_lr: 0.000017
step 259, loss: 3.7073, current_lr: 0.000017
step 260, loss: 4.2945, current_lr: 0.000017
step 261, loss: 4.7403, current_lr: 0.000017
step 262, loss: 4.2022, current_lr: 0.000017
step 263, loss: 4.7750, current_lr: 0.000017
step 264, loss: 4.8123, current_lr: 0.000018
step 265, loss: 4.2902, current_lr: 0.000018
step 266, loss: 3.7782, current_lr: 0.000018
step 267, loss: 4.0289, current_lr: 0.000018
step 268, loss: 3.6425, current_lr: 0.000018
step 269, loss: 3.0840, current_lr: 0.000018
step 270, loss: 3.2858, current_lr: 0.000018
step 271, loss: 3.5934, current_lr: 0.000018
step 272, loss: 4.2857, current_lr: 0.000018
step 273, loss: 4.1995, current_lr: 0.000018
step 274, loss: 3.8099, current_lr: 0.000018
step 275, loss: 4.3465, current_lr: 0.000018
step 276, loss: 3.9878, current_lr: 0.000018
step 277, loss: 4.3075, current_lr: 0.000018
step 278, loss: 3.1758, current_lr: 0.000018
step 279, loss: 2.4739, current_lr: 0.000018
Saved best model with loss: 2.4739 to fine_tuned_gpt2\gpt2_finetuned_best_loss_2.4739.pt
step 280, loss: 2.9117, current_lr: 0.000018
step 281, loss: 3.4980, current_lr: 0.000018
step 282, loss: 3.5802, current_lr: 0.000018
step 283, loss: 3.8411, current_lr: 0.000018
step 284, loss: 3.3963, current_lr: 0.000018
step 285, loss: 3.5958, current_lr: 0.000018
step 286, loss: 3.1164, current_lr: 0.000018
step 287, loss: 3.6692, current_lr: 0.000019
step 288, loss: 4.1425, current_lr: 0.000019
step 289, loss: 3.7625, current_lr: 0.000019
step 290, loss: 3.7839, current_lr: 0.000019
step 291, loss: 3.7658, current_lr: 0.000019
step 292, loss: 3.9141, current_lr: 0.000019
step 293, loss: 3.2616, current_lr: 0.000019
step 294, loss: 3.2554, current_lr: 0.000019
step 295, loss: 2.8790, current_lr: 0.000019
step 296, loss: 3.6727, current_lr: 0.000019
step 297, loss: 3.8754, current_lr: 0.000019
step 298, loss: 4.1495, current_lr: 0.000019
step 299, loss: 4.0151, current_lr: 0.000019
step 300, loss: 4.5403, current_lr: 0.000019
